promo_id,promo_name,promo_type,channel,discount_pct,start_date,end_date,redemptions,revenue_generated,cost
PROMO001,Fundamental fault-tolerant interface,Discount,Email,42,2026-05-18,2026-06-10,400,1685.23,2561.48
PROMO002,Realigned heuristic open architecture,Cashback,SMS,39,2025-11-05,2025-11-18,12,48705.42,1437.51
PROMO003,Cloned multi-state database,Free Shipping,Social Media,49,2025-09-05,2025-09-18,311,10071.16,6898.49
PROMO004,Secured directional knowledgebase,BOGO,Social Media,29,2026-01-11,2026-01-21,227,11499.43,2661.77
PROMO005,Networked secondary software,Cashback,Email,34,2026-04-08,2026-04-18,66,26466.65,5210.25
PROMO006,Operative local forecast,Cashback,App,7,2025-10-31,2025-11-18,52,17077.65,1599.36
PROMO007,Progressive client-driven middleware,Free Shipping,App,24,2026-01-24,2026-02-09,361,48832.77,4717.58
PROMO008,Polarized directional definition,Free Shipping,Social Media,32,2026-05-29,2026-06-22,106,42981.91,9000.17
PROMO009,Optimized reciprocal encoding,Cashback,SMS,5,2025-10-24,2025-11-15,355,25090.77,1499.13
PROMO010,Cloned solution-oriented encoding,Discount,Email,14,2025-06-26,2025-07-17,212,20630.59,6110.29
PROMO011,Triple-buffered executive parallelism,BOGO,Email,28,2025-06-20,2025-06-30,111,17592.95,6152.13
PROMO012,User-centric well-modulated circuit,Discount,SMS,32,2025-12-08,2025-12-27,381,25456.4,7765.76
PROMO013,Decentralized 4thgeneration model,Cashback,In-Store,27,2025-12-03,2025-12-28,253,33667.17,9526.32
PROMO014,Extended exuding intranet,Cashback,SMS,34,2025-07-21,2025-08-12,65,6987.31,5148.74
PROMO015,User-friendly empowering conglomeration,BOGO,Email,11,2025-09-06,2025-09-20,387,3589.77,1148.17
PROMO016,Re-contextualized discrete utilization,Discount,SMS,29,2026-05-05,2026-06-02,319,34281.01,1951.0
PROMO017,Phased next generation model,Discount,Email,47,2026-05-20,2026-06-15,394,26477.5,5175.78
PROMO018,Reduced exuding complexity,BOGO,Social Media,47,2026-04-14,2026-05-05,264,25022.27,2985.82
PROMO019,Right-sized logistical core,Discount,Email,32,2025-06-22,2025-07-09,460,45832.02,4144.48
PROMO020,Face-to-face modular implementation,Free Shipping,In-Store,34,2026-04-28,2026-05-15,28,2610.13,5788.33
PROMO021,Profit-focused full-range toolset,BOGO,In-Store,32,2026-01-20,2026-02-05,78,16310.52,4196.26
PROMO022,Decentralized holistic attitude,Free Shipping,App,48,2025-10-06,2025-10-16,286,29038.3,5021.16
PROMO023,Sharable uniform encoding,Discount,In-Store,21,2026-04-11,2026-04-23,263,29961.21,4089.08
PROMO024,Face-to-face optimal software,Cashback,Social Media,25,2026-04-19,2026-05-17,41,2379.2,928.63
PROMO025,Integrated coherent methodology,Cashback,App,6,2025-06-17,2025-07-05,401,44675.8,3741.94
PROMO026,Phased dedicated protocol,Free Shipping,Social Media,27,2025-08-13,2025-08-23,220,18212.19,6781.78
PROMO027,Intuitive discrete initiative,BOGO,Social Media,42,2025-06-26,2025-07-10,53,45609.06,1122.25
PROMO028,Configurable reciprocal hierarchy,Discount,Social Media,15,2025-10-20,2025-11-05,20,27382.42,855.09
PROMO029,Monitored optimal project,Free Shipping,App,37,2026-05-26,2026-06-23,471,21637.46,693.82
PROMO030,Ergonomic system-worthy strategy,Discount,Social Media,29,2025-07-01,2025-07-23,302,20124.74,5939.12
PROMO031,De-engineered bandwidth-monitored model,Discount,SMS,26,2026-01-07,2026-01-29,264,25635.66,7766.59
PROMO032,Diverse multi-state time-frame,BOGO,App,24,2025-07-20,2025-08-06,196,48501.96,2416.71
PROMO033,Cloned radical ability,Discount,App,18,2025-08-27,2025-09-23,157,13992.6,3324.54
PROMO034,Multi-layered composite collaboration,Free Shipping,SMS,44,2025-10-19,2025-11-13,390,47939.11,7318.22
PROMO035,Extended optimizing policy,Discount,App,26,2026-05-29,2026-06-23,149,4296.22,8111.26
PROMO036,Implemented zero-defect focus group,Free Shipping,SMS,27,2026-06-05,2026-06-27,417,4756.42,8325.52
PROMO037,Right-sized eco-centric emulation,Cashback,In-Store,47,2025-06-22,2025-07-15,286,16354.3,4435.99
PROMO038,Universal global matrices,Free Shipping,App,16,2026-03-09,2026-03-24,461,1911.56,7181.65
PROMO039,Front-line client-driven hub,Free Shipping,SMS,47,2025-06-18,2025-06-30,431,37368.19,4939.31
PROMO040,Multi-tiered high-level frame,Free Shipping,App,45,2025-08-02,2025-08-29,40,26591.21,3960.61
PROMO041,De-engineered heuristic contingency,BOGO,SMS,48,2025-07-30,2025-08-10,401,15713.51,4636.19
PROMO042,Down-sized fault-tolerant function,Discount,SMS,31,2026-03-21,2026-04-07,146,41361.82,6637.41
PROMO043,Pre-emptive actuating moratorium,BOGO,In-Store,20,2025-06-24,2025-07-09,68,8348.15,763.19
PROMO044,Total heuristic strategy,Free Shipping,In-Store,40,2025-08-24,2025-09-09,233,21678.94,9103.73
PROMO045,Upgradable uniform algorithm,BOGO,Social Media,13,2025-10-18,2025-10-31,24,13661.45,8133.61
PROMO046,Enhanced explicit database,BOGO,Email,36,2026-04-09,2026-05-07,410,1975.53,8666.05
PROMO047,Enhanced responsive ability,Cashback,App,24,2025-12-07,2025-12-16,453,4115.5,9573.34
PROMO048,Secured encompassing infrastructure,Discount,In-Store,13,2026-04-08,2026-04-26,130,6484.69,7477.56
PROMO049,Open-source web-enabled core,Cashback,In-Store,10,2025-06-20,2025-06-30,131,30391.24,7845.31
PROMO050,Automated 24hour infrastructure,Cashback,App,29,2026-01-26,2026-02-12,422,37670.34,2741.41
